board,heuristic,algorithm,kdepths,depth_min,depth_max,b_hat,b_lo,b_hi,r2
p15,linear_conflict,A*,9.0,4.0,20.0,1.1951531307822774,1.176998108658548,1.2135881914429327,0.9908548258681596
p15,linear_conflict,IDA*,9.0,4.0,20.0,1.236464658999647,1.2157709582232703,1.257510588334311,0.9921465360736093
p15,manhattan,A*,9.0,4.0,20.0,1.222176346495009,1.1740269401790462,1.2723004650166616,0.9521601504511449
p15,manhattan,IDA*,9.0,4.0,20.0,1.2643668383393016,1.2380731967943137,1.2912188924139254,0.990051735311553
p8,linear_conflict,A*,10.0,4.0,22.0,1.222163096250369,1.21114010838653,1.2332864079831023,0.9969411864386092
p8,linear_conflict,IDA*,10.0,4.0,22.0,1.2814084543511963,1.2653200330637404,1.2977014383522418,0.9961091256753175
p8,manhattan,A*,10.0,4.0,22.0,1.2736863059671601,1.257901014035152,1.2896696861736814,0.9960180023180505
p8,manhattan,IDA*,10.0,4.0,22.0,1.3352939944313247,1.3094938272295031,1.361602486769012,0.9931969253100714
r3x4,linear_conflict,A*,9.0,4.0,20.0,1.2048794507329945,1.1842419402224975,1.2258766063680266,0.9893573364150853
r3x4,linear_conflict,IDA*,9.0,4.0,20.0,1.2581703395215427,1.2243036990215777,1.2929737976915598,0.9826344249723034
r3x4,manhattan,A*,9.0,4.0,20.0,1.255327298479576,1.214975972052112,1.297018758030583,0.974807116977461
r3x4,manhattan,IDA*,9.0,4.0,20.0,1.3060065242861034,1.264544265461459,1.3488282601601453,0.982046194351996
r3x5,linear_conflict,A*,9.0,4.0,20.0,1.190313864850311,1.1723184062960972,1.2085855593885697,0.9905187491056577
r3x5,linear_conflict,IDA*,9.0,4.0,20.0,1.2321030695097566,1.2163835749416045,1.2480257092983544,0.9952844110838743
r3x5,manhattan,A*,9.0,4.0,20.0,1.2340410700108617,1.1866389031314684,1.2833367913817961,0.9583756391958161
r3x5,manhattan,IDA*,9.0,4.0,20.0,1.2739817875301918,1.231839675222049,1.3175656115038334,0.97641036296526
